service_count,Churned,Total,Churn_Rate
1,148,1606,9.21544209215442
2,375,727,51.5818431911967
3,433,996,43.47389558232932
4,361,1041,34.67819404418828
5,289,1062,27.21280602636535
6,182,827,22.007255139056834
7,66,525,12.571428571428573
8,15,259,5.7915057915057915
